2026-05-07 09:10:14.129 [info] Reading sessions from keychain...
2026-05-07 09:10:14.129 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.129 [info] Got stored sessions!
2026-05-07 09:10:14.129 [info] Got 1 verified sessions.
2026-05-07 09:10:14.129 [info] Got 1 sessions for ...
2026-05-07 09:10:14.129 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.129 [info] Got 1 sessions for ...
2026-05-07 09:10:14.129 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.129 [info] Got 1 sessions for ...
2026-05-07 09:10:14.129 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.129 [info] Got 1 sessions for ...
2026-05-07 09:10:14.129 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.129 [info] Got 1 sessions for ...
2026-05-07 09:10:14.130 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.130 [info] Got 1 sessions for ...
2026-05-07 09:10:14.130 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.130 [info] Got 1 sessions for ...
2026-05-07 09:10:14.130 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.130 [info] Got 1 sessions for ...
2026-05-07 09:10:14.130 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.130 [info] Got 1 sessions for ...
2026-05-07 09:10:14.130 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:14.130 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:14.572 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.572 [info] Got 1 sessions for ...
2026-05-07 09:10:14.624 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:14.624 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:14.630 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:14.630 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:14.812 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.812 [info] Got 1 sessions for ...
2026-05-07 09:10:14.812 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.812 [info] Got 1 sessions for ...
2026-05-07 09:10:14.838 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:14.838 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:14.986 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.986 [info] Got 1 sessions for ...
2026-05-07 09:10:14.993 [info] Getting sessions for all scopes...
2026-05-07 09:10:14.994 [info] Got 1 sessions for ...
2026-05-07 09:10:15.032 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:15.032 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:15.226 [info] Getting sessions for all scopes...
2026-05-07 09:10:15.226 [info] Got 1 sessions for ...
2026-05-07 09:10:15.238 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:15.238 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-07 09:10:15.933 [info] Getting sessions for all scopes...
2026-05-07 09:10:15.933 [info] Got 1 sessions for ...
2026-05-07 09:10:15.936 [info] Getting sessions for all scopes...
2026-05-07 09:10:15.936 [info] Got 1 sessions for ...
2026-05-07 09:10:33.887 [info] Getting sessions for all scopes...
2026-05-07 09:10:33.887 [info] Got 1 sessions for ...
2026-05-07 09:10:33.890 [info] Getting sessions for all scopes...
2026-05-07 09:10:33.890 [info] Got 1 sessions for ...
2026-05-07 09:11:35.284 [info] Getting sessions for all scopes...
2026-05-07 09:11:35.284 [info] Got 1 sessions for ...
2026-05-07 09:11:35.285 [info] Getting sessions for all scopes...
2026-05-07 09:11:35.285 [info] Got 1 sessions for ...
2026-05-07 09:12:55.326 [info] Getting sessions for all scopes...
2026-05-07 09:12:55.326 [info] Got 1 sessions for ...
2026-05-07 09:12:55.336 [info] Getting sessions for all scopes...
2026-05-07 09:12:55.336 [info] Got 1 sessions for ...
2026-05-07 09:13:05.343 [info] Getting sessions for all scopes...
2026-05-07 09:13:05.343 [info] Got 1 sessions for ...
2026-05-07 09:13:05.345 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-07 09:13:05.345 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-07 09:13:36.820 [info] Getting sessions for all scopes...
2026-05-07 09:13:36.820 [info] Got 1 sessions for ...
2026-05-07 09:13:36.829 [info] Getting sessions for all scopes...
2026-05-07 09:13:36.829 [info] Got 1 sessions for ...
2026-05-07 09:14:38.269 [info] Getting sessions for all scopes...
2026-05-07 09:14:38.269 [info] Got 1 sessions for ...
2026-05-07 09:14:38.270 [info] Getting sessions for all scopes...
2026-05-07 09:14:38.270 [info] Got 1 sessions for ...
2026-05-07 09:15:29.792 [info] Getting sessions for all scopes...
2026-05-07 09:15:29.792 [info] Got 1 sessions for ...
2026-05-07 09:15:29.794 [info] Getting sessions for all scopes...
2026-05-07 09:15:29.794 [info] Got 1 sessions for ...
2026-05-07 09:16:51.354 [info] Getting sessions for all scopes...
2026-05-07 09:16:51.354 [info] Got 1 sessions for ...
2026-05-07 09:16:51.355 [info] Getting sessions for all scopes...
2026-05-07 09:16:51.355 [info] Got 1 sessions for ...
2026-05-07 09:17:19.484 [info] Getting sessions for all scopes...
2026-05-07 09:17:19.484 [info] Got 1 sessions for ...
2026-05-07 09:17:19.485 [info] Getting sessions for all scopes...
2026-05-07 09:17:19.485 [info] Got 1 sessions for ...
2026-05-07 09:18:58.912 [info] Getting sessions for all scopes...
2026-05-07 09:18:58.912 [info] Got 1 sessions for ...
2026-05-07 09:18:58.913 [info] Getting sessions for all scopes...
2026-05-07 09:18:58.913 [info] Got 1 sessions for ...
2026-05-07 09:19:45.720 [info] Getting sessions for all scopes...
2026-05-07 09:19:45.720 [info] Got 1 sessions for ...
2026-05-07 09:19:45.720 [info] Getting sessions for all scopes...
2026-05-07 09:19:45.720 [info] Got 1 sessions for ...
2026-05-07 09:21:42.754 [info] Getting sessions for all scopes...
2026-05-07 09:21:42.754 [info] Got 1 sessions for ...
2026-05-07 09:21:42.755 [info] Getting sessions for all scopes...
2026-05-07 09:21:42.755 [info] Got 1 sessions for ...
2026-05-07 09:22:31.835 [info] Getting sessions for all scopes...
2026-05-07 09:22:31.835 [info] Got 1 sessions for ...
2026-05-07 09:22:31.836 [info] Getting sessions for all scopes...
2026-05-07 09:22:31.836 [info] Got 1 sessions for ...
2026-05-07 09:22:49.741 [info] Getting sessions for all scopes...
2026-05-07 09:22:49.741 [info] Got 1 sessions for ...
2026-05-07 09:22:49.742 [info] Getting sessions for all scopes...
2026-05-07 09:22:49.742 [info] Got 1 sessions for ...
2026-05-07 09:24:13.969 [info] Getting sessions for all scopes...
2026-05-07 09:24:13.969 [info] Got 1 sessions for ...
2026-05-07 09:24:13.969 [info] Getting sessions for all scopes...
2026-05-07 09:24:13.969 [info] Got 1 sessions for ...
2026-05-07 09:24:14.480 [info] Getting sessions for all scopes...
2026-05-07 09:24:14.480 [info] Got 1 sessions for ...
2026-05-07 09:24:14.484 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-07 09:24:14.484 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-07 09:24:35.258 [info] Getting sessions for all scopes...
2026-05-07 09:24:35.258 [info] Got 1 sessions for ...
2026-05-07 09:24:35.259 [info] Getting sessions for all scopes...
2026-05-07 09:24:35.259 [info] Got 1 sessions for ...
2026-05-07 09:25:35.885 [info] Getting sessions for all scopes...
2026-05-07 09:25:35.885 [info] Got 1 sessions for ...
2026-05-07 09:25:35.886 [info] Getting sessions for all scopes...
2026-05-07 09:25:35.886 [info] Got 1 sessions for ...
2026-05-07 09:25:59.765 [info] Getting sessions for all scopes...
2026-05-07 09:25:59.765 [info] Got 1 sessions for ...
2026-05-07 09:25:59.766 [info] Getting sessions for all scopes...
2026-05-07 09:25:59.766 [info] Got 1 sessions for ...
2026-05-07 09:26:22.648 [info] Getting sessions for all scopes...
2026-05-07 09:26:22.649 [info] Got 1 sessions for ...
2026-05-07 09:26:22.649 [info] Getting sessions for all scopes...
2026-05-07 09:26:22.649 [info] Got 1 sessions for ...
2026-05-07 09:26:34.070 [info] Getting sessions for all scopes...
2026-05-07 09:26:34.070 [info] Got 1 sessions for ...
2026-05-07 09:26:34.071 [info] Getting sessions for all scopes...
2026-05-07 09:26:34.071 [info] Got 1 sessions for ...
2026-05-07 09:26:37.750 [info] Getting sessions for all scopes...
2026-05-07 09:26:37.750 [info] Got 1 sessions for ...
2026-05-07 09:26:37.750 [info] Getting sessions for all scopes...
2026-05-07 09:26:37.750 [info] Got 1 sessions for ...
2026-05-07 09:26:48.323 [info] Getting sessions for all scopes...
2026-05-07 09:26:48.323 [info] Got 1 sessions for ...
2026-05-07 09:26:48.323 [info] Getting sessions for all scopes...
2026-05-07 09:26:48.323 [info] Got 1 sessions for ...
2026-05-07 09:26:58.068 [info] Getting sessions for all scopes...
2026-05-07 09:26:58.068 [info] Got 1 sessions for ...
2026-05-07 09:26:58.069 [info] Getting sessions for all scopes...
2026-05-07 09:26:58.069 [info] Got 1 sessions for ...
2026-05-07 09:27:01.907 [info] Getting sessions for all scopes...
2026-05-07 09:27:01.908 [info] Got 1 sessions for ...
2026-05-07 09:27:01.908 [info] Getting sessions for all scopes...
2026-05-07 09:27:01.908 [info] Got 1 sessions for ...
2026-05-07 09:27:11.475 [info] Getting sessions for all scopes...
2026-05-07 09:27:11.475 [info] Got 1 sessions for ...
2026-05-07 09:27:11.475 [info] Getting sessions for all scopes...
2026-05-07 09:27:11.475 [info] Got 1 sessions for ...
2026-05-07 09:27:38.343 [info] Getting sessions for all scopes...
2026-05-07 09:27:38.343 [info] Got 1 sessions for ...
2026-05-07 09:27:38.345 [info] Getting sessions for all scopes...
2026-05-07 09:27:38.345 [info] Got 1 sessions for ...
2026-05-07 09:27:55.356 [info] Getting sessions for all scopes...
2026-05-07 09:27:55.356 [info] Got 1 sessions for ...
2026-05-07 09:27:55.357 [info] Getting sessions for all scopes...
2026-05-07 09:27:55.357 [info] Got 1 sessions for ...
2026-05-07 09:28:27.042 [info] Getting sessions for all scopes...
2026-05-07 09:28:27.042 [info] Got 1 sessions for ...
2026-05-07 09:28:27.043 [info] Getting sessions for all scopes...
2026-05-07 09:28:27.043 [info] Got 1 sessions for ...
2026-05-07 09:29:48.194 [info] Getting sessions for all scopes...
2026-05-07 09:29:48.194 [info] Got 1 sessions for ...
2026-05-07 09:29:48.195 [info] Getting sessions for all scopes...
2026-05-07 09:29:48.195 [info] Got 1 sessions for ...
